Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Stevenson, Robin",Pride: Celebrating Diversity & Community,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Stevenson, Robin",Pride: Celebrating Diversity & Community,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stevenson, Robin",Under Threat,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stine, Megan",Who Is Michelle Obama? (Who was...? Series),Banned in Classrooms,,"O'Brien, John",,Pennsylvania,Central York School District,August 2021,Administrator
"Stine, Megan",Who Is Sonia Sotomayor? (Who was...? Series),Banned in Classrooms,,"Putra, Dede",,Pennsylvania,Central York School District,August 2021,Administrator
"Stine, Megan",Who Was Marie Curie? (Who was...? Series),Banned in Classrooms,,"Hammond, Ted",,Pennsylvania,Central York School District,August 2021,Administrator
"Stoeve, Ray",Between Perfect and Real,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Stone, Nic",Clean Getaway,Banned in Classrooms,,,,North Carolina,Wilkes County School District,May 2022,Administrator
"Stone, Nic",Dear Martin,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Stone, Nic",Dear Martin,Banned Pending Investigation,,,,Florida,Lee County Schools,May 2022,Administrator
"Stone, Nic",Dear Martin,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
"Stone, Nic",Dear Martin,Banned in Classrooms,,,,Missouri,Monett R-1 School District,December 2021,Administrator
"Stone, Nic",Dear Martin,Banned in Libraries and Classrooms,,,,New York,Marlboro Central School District,February 2022,Administrator
"Stone, Nic",Dear Martin,Banned in Classrooms,,,,North Carolina,Haywood County Schools,January 2022,Administrator
"Stone, Nic",Dear Martin,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator
"Stone, Nic",Odd One Out,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Stone, Nic",Odd One Out,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Stone, Nic",Odd One Out,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Stovall, David Omotoso","Born Out of Struggle: Critical Race Theory, School Creation, and the Politics of Interruption",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Styron, William",The Confessions of Nat Turner,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sugiura, Misa",It's Not Like It's a Secret,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Sugiura, Misa",It's Not Like It's a Secret,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Sullivan, Rosana",Mommy Sayang: Pixar Animation Studios Artist Showcase,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Surmelis, Angelo",The Dangerous Art of Blending In,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Suzuma, Tabitha",Forbidden,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Administrator
"Swain-Bates, Crystal","Big Hair, Don't Care",Banned in Classrooms,,"Bair, Megan",,Pennsylvania,Central York School District,August 2021,Administrator
"Taifa, Nkechi","Shining Legacy: A Treasury of ""Storypoems and Tales for the Young So Black Heroes Forever Will Be Sung""",Banned in Classrooms,,"Middleton, Archie",,Pennsylvania,Central York School District,August 2021,Administrator
"Takei, George",They Called Us Enemy,Banned in Classrooms,"Eisinger, Justin; Scott, Steven","Becker, Harmony",,Pennsylvania,Central York School District,August 2021,Administrator
"Talley, Robin",As I Descended,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Talley, Robin",As I Descended,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Talley, Robin",As I Descended,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Talley, Robin",Music from Another World,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Talley, Robin",Pulp,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Talley, Robin",The Love Curse of Melody McIntyre,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Talley, Robin",The Love Curse of Melody McIntyre,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,Banned Pending Investigation,,"Valero-O'Connell, Rosemary",,Texas,North East Independent School District,December 2021,Administrator
"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Brevard Public Schools,March 2022,Administrator
"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Indian River County School District,November 2021,Administrator
"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Lee County Schools,May 2022,Administrator
"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Florida,St. Lucie Public Schools,January 2022,Formal Challenge
"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Walton County School District,April 2022,Administrator
"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Georgia,Forsyth County Schools,January 2022,Administrator
"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Kansas,Goddard Public Schools,November 2021,Administrator
"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Texas,Birdville Independent School District,October 2021,Formal Challenge
"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator
"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Texas,North East Independent School District,December 2021,Administrator
"Tan, Susan",Cilla Lee-Jenkins: Future Author Extraordinaire (Cilla Lee-Jenkins Series),Banned in Classrooms,,"Wulfekotte, Dana",,Pennsylvania,Central York School District,August 2021,Administrator
"Tan, Susan",Cilla Lee-Jenkins: The Epic Story (Cilla Lee-Jenkins Series),Banned in Classrooms,,"Wulfekotte, Dana",,Pennsylvania,Central York School District,August 2021,Administrator
"Tan, Susan",Cilla Lee-Jenkins: This Book Is a Classic (Cilla Lee-Jenkins Series),Banned in Classrooms,,"Wulfekotte, Dana",,Pennsylvania,Central York School District,August 2021,Administrator
"Tarpley, Natasha Anastasia",I Love My Hair,Banned in Classrooms,,"Lewis, E.B.",,Pennsylvania,Central York School District,August 2021,Administrator
"Tarttelin, Abigail",Golden Boy,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Tate, Meredith",The Last Confession of Autumn Casterly,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Tatum, Beverly Daniel",Can We Talk about Race?: And Other Conversations in an Era of School Resegregation,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Tatum, Beverly Daniel",Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Tavares, Matt",Henry Aaron's Dream,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Taylor, Simon",Sally and The Magical Sneeze,Banned Pending Investigation,,"Lester, A. D.",,Florida,Duval County Public Schools,January 2022,Administrator
"Tebbetts, Chris",Me Myself & Him,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge
"Telgemeier, Raina",Drama: A Graphic Novel,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Telgemeier, Raina",Drama: A Graphic Novel,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Ten Boom, Corrie",The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Banned Pending Investigation,,"Sherrill, John; Sherrill, Elizabeth",,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Tenold, Vegas",Everything You Love Will Burn: Inside the Rebirth of White Nationalism in America,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator
"Tenold, Vegas",Everything You Love Will Burn: Inside the Rebirth of White Nationalism in America,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Terciero, Rey","Meg, Jo, Beth, and Amy: A Modern Graphic Retelling of Little Women",Banned in Libraries,"Alcott, Louisa May","Indigo, Bre",,Texas,Katy Independent School District,January 2022,Administrator
"Terrell, Brandon",High Drama (Suspended Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Testa, Rylan Jay",The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,Banned Pending Investigation,"Coolhart, Deborah; Peta, Jayme",,,Florida,Walton County School District,April 2022,Administrator
"Testa, Rylan Jay",The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,Banned in Libraries and Classrooms,"Coolhart, Deborah; Peta, Jayme",,,Tennessee,Collierville Schools,February 2022,Administrator
"Thom, Kai Cheng",From the Stars in the Sky to the Fish in the Sea,Banned in Classrooms,,"Ching, Kai Yun; Li, Wai-Yant",,Pennsylvania,Central York School District,August 2021,Administrator
"Thomas, Aiden",Cemetery Boys,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Thomas, Aiden",Cemetery Boys,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Thomas, Aiden",Cemetery Boys,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Thomas, Aiden",Cemetery Boys,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Thomas, Angie",On the Come Up,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Thomas, Angie",On the Come Up,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
"Thomas, Angie",The Hate U Give,Banned Pending Investigation,,,,Florida,Flagler Schools,November 2021,Administrator
"Thomas, Angie",The Hate U Give,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Thomas, Angie",The Hate U Give,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator
"Thomas, Angie",The Hate U Give,Banned in Libraries and Classrooms,,,,Florida,Lake County Schools,March 2022,Formal Challenge
"Thomas, Angie",The Hate U Give,Banned Pending Investigation,,,,Florida,Lee County Schools,March 2022,Administrator
